granularity,scope,method,threshold,n_components,n_heads,n_mlps,n_edges,n_paths,F,faithfulness,rel_gap,incompleteness_mean,incompleteness_max,completeness,head_precision,head_recall,head_f1
node,all,path,5.0,12,11,1,42,25,-0.24930661916732788,-0.098686699251603,1.0786674517354242,0.5698647836388295,1.2238706936283317,0.43013521636117047,0.9090909090909091,0.38461538461538464,0.5405405405405406
node,all,path,10.0,17,15,2,68,58,0.35838955640792847,0.09662761308736544,0.8869119751999924,0.4539649060911398,1.211364884176002,0.5460350939088602,0.8666666666666667,0.5,0.6341463414634146
node,all,path,20.0,22,20,2,95,137,0.6106140613555908,0.17769288504214795,0.8073237992593281,0.4104100433657897,1.1605328470876142,0.5895899566342103,0.85,0.6538461538461539,0.7391304347826086
node,all,path,40.0,39,35,4,166,292,1.3972868919372559,0.43053051857729613,0.559093138003532,0.4347757511949357,1.2305556846591523,0.5652242488050643,0.5428571428571428,0.7307692307692307,0.6229508196721312
node,all,path,80.0,68,60,8,353,776,4.8589301109313965,1.543106986975632,0.5332109964194184,0.36047687749551305,0.6905081292557876,0.639523122504487,0.4,0.9230769230769231,0.5581395348837209
node,all,tree,5.0,13,11,2,26,22,0.030328787863254547,-0.008811529018542898,0.9904299032917968,0.4808189137959015,1.163941233130396,0.5191810862040984,0.8181818181818182,0.34615384615384615,0.4864864864864865
node,all,random,5.0,13,10,3,237,0,0.09515861421823502,0.012024858410737003,0.9699731771413637,0.9344708736462524,1.1935469227443887,0.06552912635374764,0.3,0.11538461538461539,0.16666666666666666
node,all,tree,10.0,19,13,6,37,52,0.2971038520336151,0.07693031090384038,0.9062503714569402,0.5721866262406554,1.5865104274453519,0.4278133737593446,0.8461538461538461,0.4230769230769231,0.5641025641025641
node,all,random,10.0,19,16,3,522,0,0.06549450010061264,0.0024907749609875325,0.9793335393869241,0.9904643797990534,1.1642173574475645,0.00953562020094656,0.0625,0.038461538461538464,0.047619047619047616
node,all,tree,20.0,30,24,6,87,117,1.9126449823379517,0.596167254631546,0.39647448055085316,0.37409686940086323,0.8108530826894964,0.6259031305991367,0.75,0.6923076923076923,0.72
node,all,random,20.0,30,29,1,1319,0,0.10987263917922974,0.016753964471466532,0.9653302404543278,0.8346490657844623,1.1170172543119832,0.1653509342155377,0.20689655172413793,0.23076923076923078,0.21818181818181817
node,all,tree,40.0,42,33,9,128,250,1.6193046569824219,0.5018873064751018,0.4890365471499416,0.36505905313995124,0.7866701480377153,0.6349409468600488,0.6060606060606061,0.7692307692307693,0.6779661016949152
node,all,random,40.0,42,41,1,2537,0,0.04614384472370148,-0.003728549925617291,0.9854395415179397,0.8268828519320621,1.191564608287795,0.17311714806793788,0.21951219512195122,0.34615384615384615,0.26865671641791045
node,all,tree,80.0,71,60,11,266,618,2.6765432357788086,0.8416851105346284,0.15543022274476548,0.18265005563661935,0.7554020324679812,0.8173499443633807,0.4,0.9230769230769231,0.5581395348837209
node,all,random,80.0,71,64,7,6729,0,-0.11955513805150986,-0.056984410628329804,1.0377250234422244,0.8602854176928186,1.632375459569726,0.13971458230718137,0.140625,0.34615384615384615,0.2
node,attention,path,5.0,23,11,12,374,25,1.0562536716461182,0.32092201422418826,0.6667044581001837,0.45912679972273207,1.0682198734139905,0.5408732002772679,0.9090909090909091,0.38461538461538464,0.5405405405405406
node,attention,path,10.0,27,15,12,498,58,1.864920973777771,0.5808286984769558,0.41153355179640716,0.25088111231294463,1.0016310348042907,0.7491188876870554,0.8666666666666667,0.5,0.6341463414634146
node,attention,path,20.0,32,20,12,665,137,1.9055774211883545,0.5938957316216464,0.39870461398044305,0.21927066053986932,0.8295154371201556,0.7807293394601307,0.85,0.6538461538461539,0.7391304347826086
node,attention,path,40.0,47,35,12,1051,292,2.208941698074341,0.6913973903610755,0.3029795398131874,0.21624858920313406,0.4875696727492456,0.7837514107968659,0.5428571428571428,0.7307692307692307,0.6229508196721312
node,attention,path,80.0,72,60,12,1844,776,3.2732205390930176,1.0334579435210567,0.03284830398215382,0.0976319740436341,0.3391096843493405,0.9023680259563659,0.4,0.9230769230769231,0.5581395348837209
node,attention,tree,5.0,23,11,12,359,22,1.032360315322876,0.31324265956093666,0.6742438867027368,0.5217338877240405,1.0364948727933632,0.4782661122759595,0.8181818181818182,0.34615384615384615,0.4864864864864865
node,attention,random,5.0,24,12,12,597,0,-0.05050778388977051,-0.03479250447693878,1.015937477571524,0.9097636609081604,1.0457979323109026,0.09023633909183959,0.16666666666666666,0.07692307692307693,0.10526315789473684
node,attention,tree,10.0,25,13,12,441,52,0.974116325378418,0.2945229682067645,0.6926224852459184,0.38989845162457015,1.4530927847604818,0.6101015483754298,0.8461538461538461,0.4230769230769231,0.5641025641025641
node,attention,random,10.0,29,17,12,955,0,-0.3671468496322632,-0.13656069698959625,1.1158513447004548,1.0557108680938811,1.255629348321923,-0.05571086809388115,0.29411764705882354,0.19230769230769232,0.23255813953488372
