K,|K|,F(C\K),F(M\K),gap
Negative Name Mover,2,8.239401817321777,6.728346824645996,1.5110549926757812
none,0,4.533143043518066,3.11968994140625,1.4134531021118164
Previous Token,2,1.731619119644165,2.871811628341675,1.1401925086975098
Backup Name Mover,8,3.871333599090576,2.931260108947754,0.9400734901428223
Name Mover,3,3.941007137298584,3.067920446395874,0.87308669090271
S-Inhibition,4,0.7651580572128296,0.19794486463069916,0.5672131925821304
Induction,4,1.263127326965332,0.7774792313575745,0.48564809560775757
Duplicate Token,3,2.1706795692443848,1.7038471698760986,0.46683239936828613
